,building category,zipCode,residental units,gross square,taxClass,sale price
0,5,10009,5,6440,2,6625000
1,5,10009,10,6794,2,3936272
2,5,10009,6,4615,2,8000000
3,5,10009,8,4226,2,3192840
4,5,10009,24,18523,2,16232000
5,5,10009,10,12350,2,10350000
6,6,10009,24,16776,2,11900000
7,5,10009,3,3360,2,3300000
8,5,10009,4,5608,2,7215000
9,5,10009,5,3713,2,4750000
10,7,10009,0,3586,4,3700000
11,1,10011,1,3855,1,7425000
12,1,10011,2,4978,1,7750000
13,1,10011,3,3725,1,8300000
14,5,10001,6,3762,2,16000000
15,5,10011,4,2890,2,5950000
16,5,10011,24,4500,2,7375000
17,5,10011,4,3042,2,8000000
18,5,10011,22,13056,2,14100000
19,5,10011,9,6330,2,1583840
20,5,10011,9,6330,2,416790
21,5,10011,9,6330,2,630370
22,5,10011,9,8540,2,29400000
23,5,10011,8,7650,2,6450000
24,5,10011,15,6335,2,5500000
25,5,10011,8,5955,2,5750000
26,5,10011,8,4100,2,3485000
27,5,10011,6,19892,2,4600000
28,5,10011,30,78882,2,2341975
29,6,10011,24,12200,2,282000
30,5,10011,4,5225,2,10581818
31,5,10011,4,4447,2,8250000
32,7,10011,0,4080,4,17300000
33,7,10011,1,14056,4,42400000
34,7,10001,0,113062,4,150000000
35,7,10001,0,10250,4,10150000
36,7,10011,0,7900,4,10750000
37,7,10011,0,3909,4,8818181
38,7,10011,0,3800,4,20000000
39,7,10011,0,39500,4,107250000
40,7,10011,2,4271,4,10600000
41,7,10011,1,11250,4,10500000
42,7,10011,0,3980,4,9174156
43,7,10001,0,45449,4,33000000
44,7,10001,0,122236,4,139725000
45,7,10001,0,5260,4,4300000
46,7,10011,0,170750,4,92007576
47,9,10011,0,21183,4,50350000
48,8,10011,35,5802,4,7995000
49,5,10013,11,7946,2,8275000
50,5,10002,28,21274,2,4250000
51,7,10013,0,21582,4,19000000
52,7,10013,0,14250,4,9375000
53,7,10013,1,1784,4,3000000
54,7,10013,2,3274,4,4350000
55,7,10013,0,2712,4,2700000
56,7,10013,0,8550,4,6780000
57,7,10002,0,20968,4,15500000
58,5,10013,7,12000,2,141500000
59,5,10007,6,21840,2,15000000
60,5,10013,18,24423,2,21250000
